VideoId,AnnotatorId,timeSpent,Types,Other types,Categories,Other categories,
630283,1401469046820,48,["documentary-report"],,["gaming";"people"],,
151086,1401469046820,23,["news-item"],,["auto"],,
620730,1400440021910,37,["event-coverage"],,["sport"],,
631446,1400500318954,32,["documentary-report"],,["culture";"education"],,
151374,1400609429182,71,["event-coverage"],,["sport"],,
165043,1400522027689,109,[],Historic item,["culture"],,
621403,1400506072404,77,["event-coverage"],,["sport"],,
617642,1400526919882,48,["event-coverage"],,["sport"],,
639525,1400440021910,63,["event-coverage"],,["education"],,
630680,1401469046820,52,["news-item"],,["travelling"],,
625673,1400506072404,75,["news-item"],,["comedy-entertainment"],,
2123,1400519315716,58,["event-coverage"],,["people"],,
164945,1400312664880,51,["news-item"],,["auto"],,
634320,1401469046820,192,["documentary-report"],,["education"],,
2039,1400526919882,45,["news-item"],,["people"],,
2193,1400266872241,53,["event-coverage"],,["culture";"howto-style"],,
614949,1401469046820,57,["news-item"],,["auto";"people"],,
2661,1400506072404,51,["news-item"],,[],Religion,
1857,1400440021910,115,["news-item"],,["people"],,
624122,1400536477239,171,["films";"series"],,["culture";"people"],,
617907,1400516074817,26,["documentary-report"],,["animal-pets"],,
621487,1400746853302,119,["documentary-report"],,["sport"],,
151312,1400578718911,36,["news-item"],,["science-technology"],military,
2778,1400506072404,121,["documentary-report"],,["people"],Religion,
1095,1400509721599,74,["documentary-report";"event-coverage"],,["people";"science-technology"],,
616171,1400521801079,96,["news-item"],,["comedy-entertainment";"people"],,
626054,1401469046820,61,["documentary-report"],,["sport"],,
160041,1400258908871,99,["event-coverage"],,["sport"],,
626105,1400518116743,100,["documentary-report";"event-coverage";"news-item"],,["auto";"people";"science-technology";"travelling"],,
1633,1401358265722,256,["films"],,["people"],,
615157,1401469046820,39,["event-coverage"],,["people"],,
638813,1400536221771,19,["event-coverage"],,["culture";"sport"],,
631251,1400331467028,170,["documentary-report"],,["education";"howto-style"],,
620626,1401469046820,100,["event-coverage"],,["comedy-entertainment"],,
3155,1400401055051,67,["documentary-report"],,["culture"],,
615268,1400506072404,110,["documentary-report"],,["people"],Hobbies,
620971,1400440021910,40,["documentary-report"],,["people"],,
630224,1401469046820,35,["documentary-report"],,["people"],,
616741,1401469046820,34,["event-coverage"],,["animal-pets"],,
633454,1400500369735,1658,["documentary-report"],,["education";"people";"science-technology"],,
639304,1400401055051,73,["documentary-report"],,["education"],,
1773,1400499406380,29,["news-item"],,["politics"],,
621039,1400499406380,21,["event-coverage"],,["sport"],,
1433,1400331467028,72,["event-coverage"],,["sport"],,
631201,1400526919882,52,["video-blog"],,[],Food,
1181,1400506072404,90,["news-item"],,["culture"],,
173432,1400258446070,102,["documentary-report"],,["culture";"education"],,
2207,1400506072404,65,["news-item"],,["culture"],,
151544,1400401055051,42,["documentary-report"],,["culture"],,
21525,1400500318954,46,["documentary-report";"event-coverage"],,["education";"people"],,
165114,1401469046820,141,["news-item"],,["science-technology"],,
8715,1400614433921,70,["documentary-report"],,["animal-pets"],,
620753,1400510670847,43,["event-coverage"],,["sport"],,
615588,1400497254695,39,["news-item"],,["culture";"people"],,
1871,1400440021910,72,["documentary-report"],,["travelling"],,
630763,1400760277293,19,["films"],,["gaming"],,
159704,1400504998937,111,["news-item"],,["sport"],,
1577,1401469046820,243,["documentary-report"],,["people"],,
634396,1400614433921,166,["event-coverage"],,["education";"science-technology"],,
625592,1400521801079,92,["documentary-report";"event-coverage"],,["animal-pets"],,
3067,1400510203832,185,["event-coverage"],,["culture";"people"],,
633502,1401469046820,31,["documentary-report"],,["people";"science-technology"],,
618109,1400526919882,27,["event-coverage"],,["auto"],,
3828,1400331467028,230,["films"],,["culture"],,
149838,1400506072404,101,["news-item"],,["culture"],,
2137,1401469046820,96,["documentary-report"],,["culture"],,
616765,1400526919882,41,["news-item"],,["animal-pets"],,
616842,1401469046820,43,["news-item"],,["auto";"science-technology"],,
2629,1401469046820,45,["documentary-report"],,["people";"science-technology"],,
164411,1400501110446,129,["news-item"],,["people";"sport"],,
617461,1400509721599,43,["event-coverage"],,["culture";"people"],,
1759,1401469046820,33,["films"],,["people"],,
631671,1400273266997,117,["documentary-report"],,["education"],,
630813,1400526919882,36,["news-item"],,["sport"],,
617917,1400536221771,29,["documentary-report"],,["animal-pets";"people"],,
15581,1400440021910,66,["event-coverage"],,["people"],,
616277,1400318083335,139,["event-coverage";"news-item"],,["comedy-entertainment";"culture";"people";"sport"],,
625632,1400536198587,33,["event-coverage"],,["culture"],,
173456,1400526919882,52,["documentary-report"],,[],City,
621579,1400510670847,49,["documentary-report"],,["sport"],,
633477,1400506072404,169,["event-coverage"],,[],Industry,
637890,1400509721599,46,["news-item"],,["culture";"people";"politics"],,
2869,1400285791007,48,["video-blurgh"],,["spuhrr"],,
2960,1401469046820,36,["documentary-report"],,["culture";"people"],,
173479,1400506072404,42,["documentary-report"],,["culture"],,
625660,1400440021910,63,["documentary-report"],,["science-technology"],,
1941,1400440021910,60,["documentary-report"],,["people"],,
624310,1401469046820,40,["documentary-report"],,["animal-pets"],,
630410,1400794098455,419,["news-item"],,["culture";"education";"science-technology"],,
637794,1400285791007,21,["event-coverage"],,["culture"],,
617669,1400578718911,81,["event-coverage"],,["animal-pets";"comedy-entertainment";"sport"],,
151834,1400526919882,23,["event-coverage"],,["culture"],,
2583,1400504014770,24,["news-item"],,["people"],,
617802,1400506072404,70,["event-coverage"],,["culture"],,
49102,1400401055051,38,["news-item"],,["culture"],,
2165,1400609429182,168,["event-coverage"],,["animal-pets"],,
631404,1400440021910,181,["documentary-report"],,["people"],,
149909,1400500662676,95,["event-coverage"],,["sport"],,
149909,1400500662676,94,["event-coverage"],,["sport"],,
3017,1400536198587,77,["event-coverage"],,["culture"],,
615242,1400258446070,89,["documentary-report"],,["auto"],,
1815,1400273266997,34,["documentary-report"],,[],living,
626792,1400496036673,47,["documentary-report"],,["art";"culture"],,
1507,1400578718911,30,["news-item"],,["people"],,
165084,1401440330926,266,["event-coverage"],,["culture";"people"],,
151573,1400570656557,105,["documentary-report"],,["culture";"people"],history,
618047,1400526919882,67,["news-item"],,["howto-style"],,
615612,1400526919882,21,["news-item"],,["art"],,
616659,1401469046820,53,["documentary-report"],,["people";"science-technology"],,
630150,1401440330926,192,["video-blog"],,["gaming";"sport"],,
151115,1400526919882,69,["films"],,["auto";"people"],,
155922,1400408301848,250,["news-item"],,["education"],,
49287,1400509721599,70,["news-item"],,["people";"sport"],,
630387,1400500662676,168,["event-coverage"],,["culture";"howto-style"],,
85414,1400572291909,118,["event-coverage"],,["politics"],,
625850,1401469046820,79,["documentary-report"],,["auto"],,
617112,1400318083335,77,["event-coverage";"news-item"],,["sport"],,
617543,1400408301848,109,["news-item"],,["sport"],,
1321,1400496036673,95,["event-coverage"],,["culture";"people"],History,
2109,1400969394969,927,["documentary-report";"news-item"],,["travelling"],,
151225,1401469046820,67,["news-item"],,["people"],,
1563,1400318083335,74,["event-coverage"],,["sport"],,
617063,1400969394969,33,["event-coverage";"news-item"],,["culture";"sport"],,
151856,1400578718911,41,["news-item"],,["auto";"education"],,
638047,1400506072404,111,["news-item"],,["auto";"culture"],,
617692,1401440330926,103,["event-coverage"],,["culture";"people"],,
620707,1400272799499,55,["event-coverage"],,["sport"],,
1591,1400577585004,60,["news-item"],,["culture"],,
631325,1400516074817,32,["documentary-report"],,["culture";"education";"people"],,
621644,1400526919882,23,["event-coverage"],,["culture"],,
164463,1400609429182,98,["event-coverage"],,["sport"],,
151407,1400440021910,31,["news-item"],,["education"],,
151461,1400440021910,82,["event-coverage"],,["sport"],,
71534,1400609429182,124,["documentary-report"],,["howto-style"],,
1619,1400504014770,16,["documentary-report"],,["people"],,
611989,1400519315716,163,["documentary-report"],,["people"],,
630121,1400536477239,123,["event-coverage"],,["comedy-entertainment";"culture";"people";"sport"],,
61831,1400526919882,652,["news-item"],,[],Buildings,
913,1400526919882,43,["documentary-report"],,["howto-style"],,
617826,1400499406380,90,["event-coverage"],,["culture";"education";"sport"],,
621015,1400272799499,51,["event-coverage"],,["sport"],,
2081,1400610258558,1008,["event-coverage"],,["culture"],,
621357,1400266872241,135,["event-coverage"],,["sport"],,
640371,1400509721599,132,["documentary-report"],,["culture";"people"],,
23822,1401469046820,26,["news-item"],,["politics"],,
630726,1400535006706,215,["event-coverage"],,["culture";"travelling"],,
173585,1401469046820,43,["news-item"],,["sport"],,
155863,1401469046820,73,["documentary-report"],,["science-technology"],,
149961,1400609429182,99,["news-item"],,["people"],,
616585,1400258446070,26,["event-coverage"],,["sport"],,
160161,1401469046820,74,["documentary-report"],,["people"],,
43555,1400502787744,119,["documentary-report";"news-item"],,["people"],,
624459,1400331467028,134,["news-item"],,["science-technology"],,
621498,1401469046820,104,["documentary-report"],,["culture";"people"],,
637728,1400506072404,39,["documentary-report"],,["art"],,
2747,1400440021910,35,["documentary-report"],,["culture"],,
618202,1400506072404,105,["news-item"],,["sport"],,
617177,1400401055051,59,["event-coverage"],,["sport"],,
638070,1400684765397,1485,["documentary-report"],,["culture"],,
2801,1400509721599,35,["news-item"],,["people"],,
616869,1400440021910,40,["event-coverage"],,["sport"],,
631390,1400609429182,77,["news-item"],,["politics"],work,
617326,1401469046820,37,["event-coverage"],,["people";"science-technology"],,
625767,1400440021910,48,["event-coverage"],,["culture"],,
621300,1400331467028,33,["event-coverage"],,["sport"],,
621380,1400535006706,161,["event-coverage"],,["culture";"sport"],,
160881,1400526919882,54,["video-blog"],,["auto"],,
637914,1400609429182,126,["event-coverage"],,["education";"people"],,
160092,1400509365748,94,["documentary-report";"event-coverage"],,["animal-pets"],,
1451,1400578718911,45,["news-item"],,["culture"],history,
615191,1400331467028,101,["documentary-report"],,["art"],,
63466,1400509721599,93,[],Reclame voor Zuid-Limburg. Je zal er maar wonen!,["culture"],,
613521,1400500662676,99,["documentary-report"],,["culture";"people"],,
634345,1400258908871,150,["documentary-report"],,["education";"people"],,
2221,1400609429182,205,["documentary-report"],,["people"],,
173530,1400509721599,75,["event-coverage"],,["people";"politics"],,
151339,1400345763874,160,["documentary-report"],,[],product,
151916,1400332698065,70,["event-coverage"],,["culture"],religion,
11476,1400526919882,28,["news-item"],,["sport"],,
