VideoId,AnnotatorId,timeSpent,Types,Other types,
85414,1402762906779,56,["documentary-report"],,
2221,1402490571857,34,["news-item"],,
616483,1402490571857,44,["news-item"],,
615308,1402490571857,31,["documentary-report"],,
633428,1402762906779,38,["documentary-report"],,
615490,1402490571857,63,["documentary-report"],,
624310,1402669814735,56,["documentary-report"],,
1405,1402490571857,41,["news-item"],,
621300,1402669814735,21,["event-coverage"],,
43555,1402669814735,69,["news-item"],,
2818,1402669814735,35,["news-item"],,
165084,1402490571857,17,["news-item"],,
617543,1402762906779,34,["event-coverage"],,
86130,1402669814735,35,["documentary-report"],,
2661,1402490571857,37,["documentary-report"],,
3192,1402490571857,32,["event-coverage"],,
128749,1402490571857,46,["news-item"],,
1293,1402762906779,30,["documentary-report"],,
637984,1402669814735,62,["documentary-report"],,
638118,1402669814735,618,["documentary-report"],,
3208,1402490571857,63,["news-item"],,
620971,1402490571857,56,["news-item"],,
624062,1402490571857,19,["documentary-report"],,
159704,1402490571857,23,["news-item"],,
630457,1402762906779,68,["documentary-report"],,
1095,1402762906779,36,["documentary-report"],,
151312,1402490571857,40,["news-item"],,
621487,1402490571857,75,["documentary-report"],,
627986,1402490571857,55,["video-blog"],,
2583,1402490571857,41,["documentary-report"],,
630851,1402669814735,50,["documentary-report"],,
1801,1402490571857,49,["news-item"],,
624385,1402490571857,91,["documentary-report"],,
638813,1402490571857,21,["news-item"],,
638070,1402762906779,28,["documentary-report"],,
1815,1402762906779,12,["documentary-report"],,
151573,1402490571857,49,["documentary-report"],,
625875,1402490571857,73,["news-item"],,
1493,1402669814735,17,["news-item"],,
615411,1402669814735,31,["documentary-report"],,
10692,1402762906779,28,["news-item"],,
615588,1402669814735,46,["documentary-report"],,
151252,1402490571857,20,["news-item"],,
631671,1402490571857,39,["documentary-report"],,
1871,1402490571857,56,["documentary-report"],,
639267,1402490571857,25,["video-blog"],,
1759,1402762906779,13,["documentary-report"],,
1321,1402490571857,66,["news-item"],,
638047,1402762906779,53,["documentary-report"],,
2193,1402669814735,21,["documentary-report"],,
2193,1402669814735,20,["documentary-report"],,
625686,1402762906779,40,["documentary-report"],,
2277,1402762906779,32,["documentary-report"],,
625821,1402762906779,40,["documentary-report"],,
62169,1402490571857,35,["documentary-report"],,
2081,1402762906779,28,["documentary-report"],,
61831,1402490571857,52,["documentary-report"],,
955,1402490571857,74,["documentary-report"],,
637704,1402490571857,47,["event-coverage"],,
638108,1402669814735,17,["event-coverage"],,
618109,1402762906779,27,["event-coverage"],,
621357,1402669814735,14,["event-coverage"],,
617826,1402669814735,37,["documentary-report"],,
621403,1402490571857,81,["news-item"],,
