VideoId,AnnotatorId,timeSpent,Types,Other types,Categories,Other categories,
2235,1400440021910,141,["event-coverage"],,["people"],,
630703,1401806387474,121,["news-item"],,["auto";"howto-style";"travelling"],,
1857,1401806387474,105,["news-item"],,["culture";"people"],,
621039,1400401055051,67,["event-coverage"],,["sport"],,
151639,1401806387474,44,["news-item"],,["people"],,
630726,1400401055051,97,["news-item"],,["travelling"],,
3208,1400614433921,88,["documentary-report"],,["culture"],Religion,
638813,1400401055051,29,["news-item"],,["sport"],,
1815,1400401055051,31,["news-item"],,["culture"],,
616483,1401805957932,29,["news-item"],,["animal-pets"],,
149961,1400401055051,92,["news-item"],,["auto"],,
617569,1401805957932,33,["event-coverage"],,["sport"],,
630283,1400440021910,138,["documentary-report"],,["howto-style"],,
1405,1400440021910,517,["event-coverage"],,["travelling"],,
613631,1401359124157,43,["news-item"],,["sport"],,
151312,1400575914995,196,["video-blog"],,["auto"],,
2946,1401269294699,138,["event-coverage"],,["people"],,
631313,1401805957932,83,["documentary-report"],,["people";"sport"],,
165084,1400539559710,278,["event-coverage"],,["people"],,
621487,1401359124157,93,["event-coverage"],,["sport"],,
165057,1401359124157,11,["event-coverage"],,["sport"],,
625686,1401806387474,65,["event-coverage"],,["culture"],,
62169,1401359124157,98,["documentary-report"],,["culture"],,
613521,1400440021910,186,["documentary-report"],,["art"],,
151573,1401806387474,92,["news-item"],,["science-technology";"sport"],,
1535,1401359124157,72,["event-coverage"],,["culture";"sport"],,
627986,1401805957932,65,["documentary-report"],,["education"],,
151252,1400401055051,82,["event-coverage"],,["sport"],,
616277,1401269294699,57,["news-item"],,["people";"sport"],,
1321,1401805957932,138,["news-item"],,["art";"comedy-entertainment";"culture"],,
631469,1401269294699,71,["documentary-report"],,["people"],nature,
630091,1400440021910,306,["event-coverage"],,["people"],,
2801,1400258446070,29,["event-coverage"],,["people"],,
630457,1401806387474,132,["event-coverage";"news-item"],,["culture";"howto-style"],Leisure time,
1493,1400440021910,143,["documentary-report"],,["politics"],,
630387,1400401055051,35,["event-coverage"],,["culture"],,
3828,1401359124157,33,["documentary-report"],,["culture"],,
155955,1400401055051,62,["documentary-report"],,["culture"],,
151339,1400401055051,145,["documentary-report"],,["education"],,
616531,1400575914995,146,["news-item"],,["culture";"people"],,
151278,1401805957932,61,["news-item"],,["howto-style";"politics"],,
625987,1401805957932,90,["news-item"],,["science-technology"],,
2818,1401359124157,21,["event-coverage"],,["culture"],,
615242,1400575914995,105,["event-coverage"],,["culture";"people"],,
638618,1401805957932,27,["documentary-report"],,["science-technology"],,
615308,1400969394969,49,["documentary-report"],,["education";"people";"science-technology"],,
618242,1400440021910,137,["documentary-report"],,["animal-pets"],,
639267,1401359124157,25,["documentary-report"],,["music"],,
