VideoId1, VideoId2, Ground_Truth_Score
1493,615308,["0"]
155988,2629,["0"]
155988,624062,["0"]
614834,1759,["0"]
155988,3223,["0"]
614834,983,["0"]
1493,624310,["0"]
151225,63466,["0"]
612014,639267,["0"]
151225,2661,["0"]
612014,627986,["0"]
151225,611962,["0"]
151225,151339,["1"]
612014,611962,["0"]
151225,615308,["0"]
612014,625793,["0"]
1493,1885,["0"]
155988,611962,["0"]
151225,28984,["0"]
151225,624062,["0"]
614834,1479,["1"]
155988,631469,["0"]
1493,173432,["0"]
151225,631177,["0"]
151225,621487,["0"]
612014,148241,["0"]
614834,625821,["1"]
155988,1885,["0"]
151225,2718,["0"]
151225,638788,["0"]
612014,617854,["0"]
151225,983,["0"]
612014,28984,["0"]
1493,631446,["0"]
155988,631177,["0"]
1493,637984,["0"]
612014,626138,["0"]
151225,615242,["0"]
612014,1293,["0"]
1493,625660,["0"]
612014,616659,["0"]
151225,618242,["0"]
1493,3223,["0"]
614834,2277,["1"]
614834,617854,["1"]
1493,63466,["0"]
614834,625540,["0"]
151225,621579,["0"]
614834,615490,["0"]
155988,2277,["0"]
155988,155955,["0"]
1493,3155,["0"]
151225,1095,["0"]
1493,2235,["0"]
1493,638788,["0"]
614834,151339,["0"]
151225,640371,["0"]
151225,151856,["1"]
614834,631201,["0"]
151225,155955,["0"]
155988,1293,["0"]
1493,638618,["0"]
612014,62169,["0"]
151225,624109,["0"]
614834,1871,["0"]
614834,2235,["0"]
155988,639267,["0"]
612014,63466,["0"]
614834,625793,["1"]
1493,618242,["0"]
614834,638618,["0"]
1493,631177,["0"]
1493,1293,["0"]
614834,640409,["0"]
612014,630283,["0"]
155988,160161,["0"]
612014,625540,["0"]
151225,620654,["0"]
1493,1759,["0"]
155988,625660,["0"]
614834,1095,["0"]
614834,631671,["0"]
612014,1815,["0"]
614834,173432,["0"]
1493,625793,["0"]
614834,615363,["1"]
612014,640409,["0"]
1493,615437,["0"]
614834,615191,["0"]
1493,630283,["0"]
151225,71534,["0"]
1493,61831,["0"]
155988,637984,["1"]
