VideoId1, VideoId2, Ground_Truth_Score
611962,63435,["0"]
1479,151031,["0"]
1479,155988,["0"]
611962,614834,["0"]
1479,630741,["0"]
2277,630741,["0"]
611962,159704,["0"]
2277,155988,["0"]
611962,613558,["0"]
1479,614834,["1"]
2277,63435,["0"]
611962,630741,["0"]
611962,1857,["0"]
1479,1857,["0"]
611962,1493,["0"]
611962,1493,["0"]
2277,2291,["0"]
2277,159704,["0"]
2277,1857,["0"]
611962,149961,["0"]
2277,149961,["0"]
1479,1493,["0"]
611962,151225,["0"]
611962,1321,["0"]
2277,613558,["1"]
1479,151639,["1"]
2277,151252,["0"]
2277,1321,["0"]
2277,1493,["0"]
2277,151225,["0"]
611962,617520,["0"]
1479,151312,["1"]
611962,151031,["0"]
611962,2291,["0"]
1479,2583,["0"]
1479,2291,["0"]
2277,614834,["1"]
611962,615283,["0"]
1479,3269,["0"]
611962,3269,["0"]
1479,159704,["0"]
2277,3269,["0"]
1479,151252,["0"]
2277,615283,["0"]
1479,615283,["0"]
2277,2583,["0"]
2277,617520,["0"]
1479,151225,["0"]
611962,2583,["0"]
2277,151312,["1"]
1479,613558,["1"]
1479,149961,["0"]
2277,151031,["0"]
611962,151252,["0"]
2277,151639,["1"]
611962,155988,["0"]
1479,1321,["0"]
1479,63435,["0"]
611962,151312,["0"]
611962,151639,["0"]
1479,617520,["0"]
